"cardnumber";"barcode";"rating";"valid";"userSrNo"
"127";"1111476";1;0;3341
"127";"11123840";5;0;3341
"127";"11126171";1;0;3341
"127";"11126280";5;0;3341
"129";"11112382";2;0;3342
"129";"11124664";4;0;3342
"129";"11125991";2;0;3342
"13";"11110406";4;0;3245
"13";"11110843";3;0;3245
"13";"11111668";4;0;3245
"13";"11111699";4;0;3245
"13";"11112257";3;0;3245
"13";"11112321";2;0;3245
"13";"1111249";4;0;3245
"13";"11113869";3;0;3245
"13";"11115645";4;0;3245
"13";"11116937";4;0;3245
"13";"11117515";5;0;3245
"13";"11122522";1;0;3245
"13";"11122862";5;0;3245
"13";"11123062";1;0;3245
"13";"11127283";3;0;3245
"13";"11128032";1;0;3245
"131A";"11127948";1;0;3462
"131C";"11113379";2;0;3464
"131C";"11115961";2;0;3464
"131C";"11120442";4;0;3464
"131C";"11120443";3;0;3464
"131C";"11122562";2;0;3464
"131C";"11127782";1;0;3464
"131C";"1119561";1;0;3464
"131C";"1119562";3;0;3464
"131D";"11122569";3;0;3465
"131D";"11125245";3;0;3465
"131D";"11127943";5;0;3465
"131D";"11127951";2;0;3465
"132";"11111417";5;0;3343
"132";"11114";3;0;3343
"132";"1111476";3;0;3343
"132";"11115141";4;0;3343
"132";"11115376";1;0;3343
"132";"11120536";2;0;3343
"132";"11124178";1;0;3343
"132";"11124433";4;0;3343
"133.3";"11114974";4;0;3345
"133.3";"11117150";1;0;3345
"133.3";"11117772";5;0;3345
"133.3";"224DB1360";2;0;3345
"133.4";"11112";2;0;3346
"133.4";"11124373";3;0;3346
"133.5";"11110146";4;0;3347
"133.5";"11112896";2;0;3347
"133.5";"11113262";2;0;3347
"133.5";"11123255";2;0;3347
"133.6";"11112896";1;0;3348
"133.6";"11120650";1;0;3348
"133.6";"11124493";3;0;3348
"133.6";"11127515";3;0;3348
"137";"11112344";4;0;3349
"137";"1111308";1;0;3349
"137";"11114974";3;0;3349
"137";"11115122";5;0;3349
"137";"11120692";4;0;3349
"137";"1119244";1;0;3349
"138";"11110909";4;0;3350
"138";"11112324";2;0;3350
"138";"11113719";3;0;3350
"138";"11114451";4;0;3350
"138";"11115490";3;0;3350
"138";"11116643";4;0;3350
"138";"11117532";3;0;3350
"138";"11118439";1;0;3350
"138";"11121149";3;0;3350
"138";"11122825";4;0;3350
"138";"11123118";3;0;3350
"138";"11126371";5;0;3350
"138";"11126512";1;0;3350
"138";"11126516";1;0;3350
"138";"11126522";5;0;3350
"138";"11128042";5;0;3350
"138";"11128340";2;0;3350
"138";"11128352";2;0;3350
"138";"11128426";2;0;3350
"138";"1115165";5;0;3350
"138";"224DB0784";2;0;3350
"139";"11112780";3;0;3351
"139";"11118430";2;0;3351
"142";"11110406";4;0;3353
"142";"11112486";5;0;3353
"142";"11116743";5;0;3353
"142";"11118111";1;0;3353
"142";"11118921";3;0;3353
"142";"11122065";1;0;3353
"142";"11123062";3;0;3353
"142";"11123337";2;0;3353
"142";"11123356";3;0;3353
"142";"11123705";5;0;3353
"142";"11125003";3;0;3353
"142";"11127283";4;0;3353
"142";"11128206";1;0;3353
"142";"11128242";3;0;3353
"142";"224DB0070";2;0;3353
"143";"11127013";4;0;3354
"143";"11127906";2;0;3354
"143";"11127942";4;0;3354
"143";"11127951";2;0;3354
"144";"11110760";5;0;3355
"144";"11110840";1;0;3355
"144";"11110926";3;0;3355
"144";"11114607";5;0;3355
"144";"11118235";2;0;3355
"144";"11122113";5;0;3355
"144";"11127300";2;0;3355
"144";"11127361";3;0;3355
"144";"11128254";3;0;3355
"145";"11110129";2;0;3356
"145";"11113984";4;0;3356
"145";"11114241";4;0;3356
"145";"11114913";5;0;3356
"145";"11116743";3;0;3356
"145";"11117188";5;0;3356
"145";"11117231";5;0;3356
"145";"11117249";3;0;3356
"145";"11117502";2;0;3356
"145";"11117648";4;0;3356
"145";"11122568";1;0;3356
"145";"11127108";1;0;3356
"145";"11127365";3;0;3356
"145";"11128476";5;0;3356
"145";"11128478";3;0;3356
"146";"11111910";2;0;3357
"146";"11112065";4;0;3357
"146";"11112520";4;0;3357
"146";"11113555";5;0;3357
"146";"11113875";3;0;3357
"146";"11114929";1;0;3357
"146";"11115458";2;0;3357
"146";"11118981";5;0;3357
"146";"11122113";3;0;3357
"146";"11125999";3;0;3357
"146";"11126061";5;0;3357
"146";"11128497";5;0;3357
"146";"1115167";1;0;3357
"146";"1118460";1;0;3357
"146";"224DB1007";3;0;3357
"146";"224DB1104";1;0;3357
"147";"11110403";4;0;3358
"147";"11110840";2;0;3358
"147";"11113824";5;0;3358
"147";"11114303";3;0;3358
"147";"11116530";1;0;3358
"147";"11117731";1;0;3358
"147";"11118235";3;0;3358
"147";"11119095";5;0;3358
"147";"11127108";4;0;3358
"147";"11127361";4;0;3358
"147";"11127365";2;0;3358
"147";"11128208";2;0;3358
"147";"224DB1470";1;0;3358
"148";"11111593";1;0;3359
"148";"11111681";4;0;3359
"148";"11112257";1;0;3359
"148";"11112302";4;0;3359
"148";"11112486";2;0;3359
"148";"11113296";5;0;3359
"148";"11113766";3;0;3359
"148";"11114427";1;0;3359
"148";"11118111";2;0;3359
"148";"11118333";4;0;3359
"148";"11123790";2;0;3359
"148";"11127268";4;0;3359
"148";"11128252";4;0;3359
"148";"11128328";3;0;3359
"148";"224DB1751";5;0;3359
"15";"11112";5;0;3247
"15";"11113875";3;0;3247
"15";"11114781";3;0;3247
"15";"11115533";5;0;3247
"15";"11121992";2;0;3247
"15";"1113685";5;0;3247
"15";"1115";3;0;3247
"15";"1115167";4;0;3247
"15";"1115493";1;0;3247
"15";"1117147";4;0;3247
"150";"11111445";5;0;3360
"150";"1111181";2;0;3360
"150";"11124961";5;0;3360
"151";"111113";4;0;3361
"151";"11111370";5;0;3361
"151";"11114974";5;0;3361
"151";"11120617";2;0;3361
"151";"11122103";2;0;3361
"151";"11122104";3;0;3361
"151";"11124423";1;0;3361
"151";"11128484";4;0;3361
"151";"11128525";1;0;3361
"151";"11128526";5;0;3361
"152";"11122105";5;0;3362
"152";"11122106";1;0;3362
"153";"11128253";1;0;3363
"153";"11128385";5;0;3363
"156";"11110202";1;0;3366
"156";"11110211";4;0;3366
"156";"11110315";5;0;3366
"156";"11111357";1;0;3366
"156";"11112237";1;0;3366
"156";"11114364";4;0;3366
"156";"11114465";5;0;3366
"156";"11115556";5;0;3366
"156";"11118910";4;0;3366
"156";"11120950";5;0;3366
"156";"11123108";4;0;3366
"156";"11123179";2;0;3366
"156";"11123388";1;0;3366
"156";"11127931";2;0;3366
"158";"1111022";4;0;3367
"158";"11113453";5;0;3367
"158";"11113454";4;0;3367
"158";"11113455";5;0;3367
"158";"11113456";5;0;3367
"16";"11124370";1;0;3248
"160";"11110406";3;0;3369
"160";"11113824";4;0;3369
"160";"11116743";3;0;3369
"160";"224DB0494";3;0;3369
"161";"11113821";1;0;3370
"161";"11114578";5;0;3370
"161";"11114607";4;0;3370
"161";"11115152";4;0;3370
"161";"11116830";1;0;3370
"161";"11119732";5;0;3370
"161";"11125650";4;0;3370
"162";"11118892";4;0;3371
"164";"11110406";4;0;3373
"164";"11118921";5;0;3373
"165";"11127031";1;0;3374
"166";"11113655";2;0;3375
"166";"11114241";4;0;3375
"166";"11117188";3;0;3375
"166";"11117231";5;0;3375
"166";"11121222";1;0;3375
"167";"11110760";4;0;3376
"167";"11112330";2;0;3376
"167";"11113821";4;0;3376
"167";"11114607";1;0;3376
"167";"11115152";5;0;3376
"167";"1111887";5;0;3376
"167";"11119055";4;0;3376
"167";"11122972";1;0;3376
"167";"11127589";4;0;3376
"169";"11110259";3;0;3377
"169";"11112302";4;0;3377
"169";"11113944";1;0;3377
"169";"11114780";3;0;3377
"169";"11115770";4;0;3377
"169";"11116474";5;0;3377
"169";"11116743";4;0;3377
"169";"11117231";4;0;3377
"169";"11118486";4;0;3377
"169";"11118604";3;0;3377
"169";"11122121";3;0;3377
"169";"11122382";3;0;3377
"169";"11127268";1;0;3377
"17";"11114389";4;0;3249
"17";"11127215";3;0;3249
"170";"11124178";3;0;3378
"171";"11110146";2;0;3379
"173";"11110315";2;0;3380
"173";"11110617";2;0;3380
"173";"11110840";4;0;3380
"173";"11112243";2;0;3380
"173";"11115930";4;0;3380
"173";"11115940";4;0;3380
"173";"11122087";5;0;3380
"173";"11123108";5;0;3380
"173";"11126267";5;0;3380
"175";"11110892";4;0;3381
"175";"11110895";3;0;3381
"175";"11112005";3;0;3381
"175";"11114499";4;0;3381
"175";"1111476";5;0;3381
"175";"11116214";2;0;3381
"175";"11118974";5;0;3381
"175";"11118979";1;0;3381
"175";"11119762";5;0;3381
"175";"11120918";5;0;3381
"175";"11121622";5;0;3381
"175";"11123840";4;0;3381
"175";"11127251";3;0;3381
"175";"11127681";4;0;3381
"175";"11127763";2;0;3381
"175";"224DB1669";2;0;3381
"177";"11111448";3;0;3383
"178";"11123398";2;0;3384
"178";"11127919";2;0;3384
"178";"11127936";3;0;3384
"178";"11127942";4;0;3384
"178";"11127945";3;0;3384
"178";"224DB1284";1;0;3384
"179";"11117021";4;0;3385
"179";"11117069";2;0;3385
"179";"11118449";2;0;3385
"179";"11120873";1;0;3385
"179";"11128348";3;0;3385
"18";"11110146";1;0;3250
"18";"11111318";3;0;3250
"18";"11113638";5;0;3250
"18";"11114380";2;0;3250
"18";"11115735";3;0;3250
"18";"11116469";3;0;3250
"18";"11123388";2;0;3250
"18";"11128208";5;0;3250
"18";"11128478";2;0;3250
"184";"11110160";1;0;3388
"184";"11111674";4;0;3388
"184";"11117150";4;0;3388
"184";"11118869";5;0;3388
"184";"11118974";2;0;3388
"184";"11127903";3;0;3388
"185";"11124149";5;0;3389
"186";"11110862";2;0;3390
"186";"111160";5;0;3390
"186";"11118922";3;0;3390
"187";"11110760";5;0;3391
"187";"11112330";2;0;3391
"187";"11114451";3;0;3391
"187";"11118235";3;0;3391
"187";"11122161";1;0;3391
"187";"11127361";4;0;3391
"188";"11110471";2;0;3392
"188";"11110920";3;0;3392
"188";"11111437";3;0;3392
"188";"11112184";4;0;3392
"188";"11113766";4;0;3392
"188";"11118911";4;0;3392
"188";"11118921";2;0;3392
"188";"11120873";5;0;3392
"19";"11110840";1;0;3251
"19";"11111318";3;0;3251
"19";"11114253";1;0;3251
"19";"11114380";4;0;3251
"19";"11116666";1;0;3251
"19";"11119459";4;0;3251
"19";"11124364";2;0;3251
"19";"11125747";5;0;3251
"190";"11122083";1;0;3394
"190";"11122674";1;0;3394
"190";"11124418";3;0;3394
"192";"11122087";3;0;3395
"193";"11110031";3;0;3396
"193";"11110862";5;0;3396
"193";"1111107";1;0;3396
"193";"11123108";1;0;3396
"196";"11114471";3;0;3398
"196";"11124234";5;0;3398
"197";"11112277";3;0;3399
"197";"11112424";2;0;3399
"197";"11113471";1;0;3399
"197";"11114241";3;0;3399
"197";"11119055";5;0;3399
"197";"11119284";1;0;3399
"198";"11111681";3;0;3400
"198";"11113944";5;0;3400
"198";"11115770";3;0;3400
"198";"11117737";2;0;3400
"198";"11124450";3;0;3400
"198";"11127268";4;0;3400
"20";"11110909";1;0;3252
"20";"11112424";2;0;3252
"20";"11113471";1;0;3252
"20";"11113919";5;0;3252
"20";"11115482";2;0;3252
"20";"11117231";1;0;3252
"20";"11119925";3;0;3252
"20";"11122204";3;0;3252
"20";"11123062";5;0;3252
"20";"11123698";3;0;3252
"20";"11127268";4;0;3252
"20";"11128426";3;0;3252
"200";"1111022";4;0;3401
"200";"11113609";5;0;3401
"200";"11115126";1;0;3401
"200";"11115399";4;0;3401
"200";"11124513";4;0;3401
"200";"11127250";5;0;3401
"200";"224DB1360";5;0;3401
"200";"224DB1603";3;0;3401
"201";"11110840";1;0;3402
"201";"11114974";1;0;3402
"201";"11119215";2;0;3402
"201";"11119257";3;0;3402
"201";"11120617";1;0;3402
"201";"11124251";3;0;3402
"201";"11124256";5;0;3402
"201";"11127208";2;0;3402
"201";"11127216";4;0;3402
"201";"11127217";5;0;3402
"206";"11124450";5;0;3407
"207";"11110403";2;0;3408
"207";"11111445";2;0;3408
"207";"1111181";1;0;3408
"207";"11114455";3;0;3408
"207";"11116087";3;0;3408
"207";"11119055";1;0;3408
"207";"11124961";5;0;3408
"208";"11111681";2;0;3409
"208";"11112186";3;0;3409
"208";"11113821";1;0;3409
"208";"11116314";2;0;3409
"208";"11116675";3;0;3409
"208";"11116784";4;0;3409
"208";"11117231";3;0;3409
"208";"11119619";3;0;3409
"208";"11124450";4;0;3409
"208";"11125378";2;0;3409
"21";"11124391";3;0;3253
"213";"11110471";1;0;3412
"213";"11114910";2;0;3412
"213";"11119215";5;0;3412
"213";"11124584";1;0;3412
"213";"11127249";2;0;3412
"213";"1119980";4;0;3412
"214";"11120639";3;0;3413
"214";"224DB1274";2;0;3413
"216";"11112";4;0;3414
"216";"11113875";3;0;3414
"217";"11119079";1;0;3415
"218";"11113638";1;0;3416
"218";"11114573";5;0;3416
"218";"11114607";2;0;3416
"219";"11127914";3;0;3417
"22";"11110760";2;0;3254
"22";"11113889";5;0;3254
"22";"1111724";5;0;3254
"220";"11113638";4;0;3418
"220";"11128208";5;0;3418
"221";"11128245";1;0;3419
"223";"11110840";3;0;3420
"223";"11118921";1;0;3420
"223";"11120458";2;0;3420
"223";"11124251";5;0;3420
"223";"11124256";5;0;3420
"223";"11125991";3;0;3420
"224";"11110760";3;0;3421
"224";"11123155";4;0;3421
"225";"11110124";3;0;3422
"225";"11111318";5;0;3422
"225";"11111352";3;0;3422
"225";"11112190";4;0;3422
"225";"11113668";5;0;3422
"225";"11114380";1;0;3422
"225";"11115770";5;0;3422
"225";"11122137";2;0;3422
"225";"11124936";1;0;3422
"225";"11126544";4;0;3422
"227";"11125077";5;0;3423
"228";"11110116";1;0;3424
"228";"11111681";3;0;3424
"228";"11112";3;0;3424
"228";"11113875";3;0;3424
"228";"11115533";5;0;3424
"228";"11127473";2;0;3424
"228";"11128415";5;0;3424
"228";"11128416";5;0;3424
"228";"1112963";5;0;3424
"228";"1115343";3;0;3424
"228";"1116685";3;0;3424
"228";"1117553";4;0;3424
"23";"11110211";3;0;3255
"23";"11110406";3;0;3255
"23";"11112237";4;0;3255
"23";"11115556";1;0;3255
"23";"11117648";2;0;3255
"23";"11118974";1;0;3255
"23";"11118993";5;0;3255
"23";"11121043";4;0;3255
"23";"11127293";1;0;3255
"23";"11127357";3;0;3255
"23";"11127920";3;0;3255
"230";"11124928";4;0;3425
"231";"11127243";3;0;3426
"231";"11127928";4;0;3426
"231";"11128385";2;0;3426
"233";"11112277";1;0;3427
"233";"11113560";5;0;3427
"233";"11115925";4;0;3427
"233";"11116314";4;0;3427
"233";"11122862";3;0;3427
"233";"11123062";2;0;3427
"233";"11123155";4;0;3427
"233";"11123354";1;0;3427
"233";"11128465";2;0;3427
"234";"11122504";5;0;3428
"24";"11110315";1;0;3256
"24";"11112759";5;0;3256
"24";"11113638";4;0;3256
"24";"11113824";3;0;3256
"24";"11114573";3;0;3256
"24";"11116530";2;0;3256
"24";"11119366";2;0;3256
"24";"11120873";4;0;3256
"24";"11123108";1;0;3256
"24";"11125182";5;0;3256
"24";"11126171";2;0;3256
"24";"11126280";4;0;3256
"24";"11127361";2;0;3256
"24";"11127388";4;0;3256
"241";"11110031";5;0;3430
"241";"11114302";2;0;3430
"241";"224DB1579";4;0;3430
"242";"11117772";3;0;3431
"246";"11110840";3;0;3432
"246";"111113";5;0;3432
"246";"11111417";1;0;3432
"246";"11120726";2;0;3432
"246";"11124139";2;0;3432
"246";"11128525";3;0;3432
"246";"11128526";4;0;3432
"247";"11112";1;0;3433
"247";"11113535";2;0;3433
"247";"11113875";2;0;3433
"247";"1117553";2;0;3433
"248";"11110406";5;0;3434
"251";"11111681";4;0;3436
"253";"11110816";1;0;3437
"253";"11111357";1;0;3437
"253";"11113996";2;0;3437
"253";"11114364";2;0;3437
"253";"11120918";3;0;3437
"253";"11125229";1;0;3437
"255";"11110760";3;0;3438
"255";"11113889";1;0;3438
"255";"11113996";1;0;3438
"255";"11114961";1;0;3438
"255";"11116976";2;0;3438
"255";"11122021";4;0;3438
"258";"11112794";1;0;3439
"258";"11127733";4;0;3439
"259";"11111437";3;0;3440
"259";"11113766";3;0;3440
"259";"11113869";4;0;3440
"259";"11115645";4;0;3440
"259";"11115770";3;0;3440
"259";"11126652";4;0;3440
"259";"11128032";2;0;3440
"26";"111113";4;0;3257
"26";"11111582";1;0;3257
"26";"11113875";3;0;3257
"26";"11114159";2;0;3257
"26";"11115043";4;0;3257
"26";"11117191";3;0;3257
"26";"11117515";4;0;3257
"26";"11117839";3;0;3257
"26";"1114827";5;0;3257
"26";"1115360";3;0;3257
"261";"11115586";2;0;3441
"261";"11115940";5;0;3441
"261";"11118356";3;0;3441
"261";"11121838";4;0;3441
"261";"11127249";3;0;3441
"261";"11127589";3;0;3441
"264";"11110031";1;0;3442
"264";"11110209";5;0;3442
"264";"11111756";3;0;3442
"264";"11111930";2;0;3442
"264";"11112";2;0;3442
"264";"11113996";5;0;3442
"264";"11116157";5;0;3442
"264";"11117037";3;0;3442
"264";"11118979";2;0;3442
"267";"11110840";1;0;3443
"267";"11112257";5;0;3443
"267";"11113068";1;0;3443
"267";"11113869";1;0;3443
"267";"11114573";4;0;3443
"267";"11123014";4;0;3443
"267";"11128006";1;0;3443
"267";"11128208";3;0;3443
"268";"11113723";3;0;3444
"268";"11115556";3;0;3444
"268";"11125991";2;0;3444
"27";"11117502";5;0;3258
"27";"11119243";1;0;3258
"270";"11124401";4;0;3445
"271";"11110315";5;0;3446
"271";"11110406";1;0;3446
"271";"11110471";4;0;3446
"271";"11114302";3;0;3446
"271";"11114961";1;0;3446
"271";"11117916";5;0;3446
"271";"11119366";4;0;3446
"271";"11121222";2;0;3446
"271";"11124450";3;0;3446
"271";"11127361";2;0;3446
"271";"224DB0494";1;0;3446
"273";"11110760";1;0;3448
"273";"11112330";2;0;3448
"273";"11114451";4;0;3448
"273";"11114607";5;0;3448
"273";"11115141";2;0;3448
"273";"1111724";4;0;3448
"273";"11120491";1;0;3448
"273";"11121838";3;0;3448
"273";"11126171";2;0;3448
"273";"11126280";3;0;3448
"273";"11126714";4;0;3448
"273";"11127361";4;0;3448
"273";"1116872";2;0;3448
"273";"224DB1142";2;0;3448
"275";"11123631";3;0;3449
"278";"11115141";4;0;3450
"278";"11121838";4;0;3450
"278";"11127941";2;0;3450
"278";"11127943";5;0;3450
"28";"11110421";2;0;3259
"280";"11127940";2;0;3451
"289";"11112";1;0;3454
"289";"11112520";5;0;3454
"289";"11113875";1;0;3454
"289";"11117037";4;0;3454
"289";"11121992";3;0;3454
"290";"11110146";3;0;3455
"290";"11119055";2;0;3455
"290";"11119284";4;0;3455
"292";"11110124";2;0;3456
"293";"11110895";2;0;3457
"293";"11114465";1;0;3457
"3";"11111323";5;0;3235
"3";"11127189";5;0;3235
"30";"11113638";4;0;3260
"30";"11114363";1;0;3260
"30";"11115586";2;0;3260
"30";"11125204";3;0;3260
"30";"11126130";2;0;3260
"30";"11128478";2;0;3260
"306";"11110760";2;0;3458
"306";"11110840";2;0;3458
"306";"11111171";2;0;3458
"306";"11111738";3;0;3458
"306";"11112330";2;0;3458
"306";"11114363";5;0;3458
"306";"11114451";2;0;3458
"306";"11114934";4;0;3458
"306";"11115152";4;0;3458
"306";"11116666";5;0;3458
"306";"11117737";1;0;3458
"306";"11121838";2;0;3458
"306";"11126267";1;0;3458
"306";"11128021";5;0;3458
"308";"11113687";1;0;3459
"308";"11115254";1;0;3459
"308";"11115568";1;0;3459
"31";"11111445";4;0;3261
"31";"11111681";4;0;3261
"31";"1111181";5;0;3261
"31";"11113560";4;0;3261
"31";"11113869";5;0;3261
"31";"11114427";3;0;3261
"31";"11114711";3;0;3261
"31";"11117515";5;0;3261
"31";"11120848";1;0;3261
"31";"11126652";5;0;3261
"311";"11110840";1;0;3460
"311";"11120692";2;0;3460
"311";"11127949";2;0;3460
"33";"11110315";2;0;3262
"33";"11110760";2;0;3262
"33";"11111357";2;0;3262
"33";"11111604";5;0;3262
"33";"11112";1;0;3262
"33";"11114136";2;0;3262
"33";"11114302";1;0;3262
"33";"11115485";3;0;3262
"33";"11116856";4;0;3262
"33";"1111724";1;0;3262
"33";"11117372";1;0;3262
"33";"11118057";4;0;3262
"33";"11119226";4;0;3262
"33";"11120410";1;0;3262
"33";"11125723";4;0;3262
"33";"11126058";4;0;3262
"33";"11126267";2;0;3262
"33";"11127445";2;0;3262
"33";"11128284";1;0;3262
"33";"11128516";4;0;3262
"35";"11111417";1;0;3264
"35";"11115402";2;0;3264
"35";"1117227";1;0;3264
"37";"11110161";1;0;3266
"37";"11110406";2;0;3266
"37";"11111510";3;0;3266
"37";"11111757";5;0;3266
"37";"11111813";2;0;3266
"37";"11114262";2;0;3266
"37";"11114451";5;0;3266
"37";"11122835";2;0;3266
"37";"11123790";1;0;3266
"37";"11125333";2;0;3266
"37";"11128370";1;0;3266
"37";"1119211";5;0;3266
"37";"1119633";3;0;3266
"38";"11111738";4;0;3267
"38";"11112321";4;0;3267
"38";"11112462";2;0;3267
"38";"11114607";3;0;3267
"38";"11116830";1;0;3267
"38";"11117677";3;0;3267
"38";"11118375";3;0;3267
"38";"11118377";4;0;3267
"38";"11118439";3;0;3267
"38";"11118825";1;0;3267
"38";"11118997";4;0;3267
"38";"11119348";2;0;3267
"38";"11120491";1;0;3267
"38";"11121426";5;0;3267
"38";"11121802";5;0;3267
"38";"11122401";1;0;3267
"38";"11123062";3;0;3267
"38";"11123705";1;0;3267
"38";"11124936";3;0;3267
"38";"11125616";4;0;3267
"38";"11128465";2;0;3267
"38";"1119785";2;0;3267
"39";"11110760";1;0;3268
"39";"11110926";3;0;3268
"39";"11111171";3;0;3268
"39";"11112330";5;0;3268
"39";"11114449";5;0;3268
"39";"11114451";3;0;3268
"39";"11117628";5;0;3268
"39";"11120390";2;0;3268
"39";"11127278";2;0;3268
"39";"224DB1638";2;0;3268
"39";"224DB1736";4;0;3268
"4";"11110950";5;0;3236
"4";"11113794";5;0;3236
"4";"11113875";3;0;3236
"4";"1111476";3;0;3236
"4";"11119287";1;0;3236
"4";"11120536";2;0;3236
"4";"11123482";5;0;3236
"40";"11115485";5;0;3269
"40";"11117735";2;0;3269
"40";"11120784";1;0;3269
"40";"11120918";3;0;3269
"40";"11125991";2;0;3269
"40";"11127933";1;0;3269
"40";"11127973";3;0;3269
"40";"1119696";3;0;3269
"42";"11110463";2;0;3270
"42";"11124349";4;0;3270
"42";"11125991";5;0;3270
"42";"11127443";2;0;3270
"42";"11127764";3;0;3270
"42";"224DB1737";3;0;3270
"43";"11111318";4;0;3271
"43";"11111357";1;0;3271
"43";"11112217";4;0;3271
"43";"1111249";4;0;3271
"43";"11114380";3;0;3271
"43";"11114451";3;0;3271
"43";"11116666";5;0;3271
"43";"11119816";5;0;3271
"44";"11111778";5;0;3272
"44";"11111782";3;0;3272
"44";"11111784";5;0;3272
"44";"11111786";2;0;3272
"44";"11111790";5;0;3272
"44";"1119906";4;0;3272
"45";"11122043";1;0;3273
"46";"11111445";2;0;3274
"46";"11113725";1;0;3274
"46";"11114837";5;0;3274
"46";"11124792";5;0;3274
"46";"11127049";2;0;3274
"48";"11125991";3;0;3276
"5";"111108";4;0;3237
"5";"11110820";2;0;3237
"5";"11114380";1;0;3237
"5";"11116034";5;0;3237
"5";"11116655";1;0;3237
"5";"11116784";5;0;3237
"5";"1111762";3;0;3237
"5";"11117772";2;0;3237
"5";"11118227";5;0;3237
"5";"11123631";1;0;3237
"5";"1115266";5;0;3237
"50";"11111171";3;0;3278
"50";"11111580";5;0;3278
"50";"11113923";5;0;3278
"50";"11114451";3;0;3278
"50";"11115770";1;0;3278
"50";"11122161";4;0;3278
"50";"11122382";5;0;3278
